/content/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding: device = cuda
Overriding: compile = False
Overriding: eval_only = False
Overriding: dataset = shakespeare_char
Overriding: out_dir = out/member1/bs64_L4_H4_E128_B8_D0.1_I400
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: dropout = 0.1
Overriding: max_iters = 120
Overriding: eval_interval = 40
Overriding: eval_iters = 50
Overriding: always_save_checkpoint = False
Overriding: init_from = scratch
Overriding: bias = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1670, val loss 4.1676
iter 0: loss 4.1860, time 1840.80ms, mfu -100.00%
iter 1: loss 4.1651, time 623.10ms, mfu -100.00%
iter 2: loss 4.1608, time 425.85ms, mfu -100.00%
iter 3: loss 4.1593, time 420.68ms, mfu -100.00%
iter 4: loss 4.1553, time 408.25ms, mfu -100.00%
iter 5: loss 4.1663, time 415.04ms, mfu 0.08%
iter 6: loss 4.1802, time 423.77ms, mfu 0.08%
iter 7: loss 4.1613, time 410.69ms, mfu 0.08%
iter 8: loss 4.1477, time 427.81ms, mfu 0.08%
iter 9: loss 4.1751, time 417.90ms, mfu 0.08%
iter 10: loss 4.1378, time 408.66ms, mfu 0.08%
iter 11: loss 4.1230, time 424.83ms, mfu 0.08%
iter 12: loss 4.1342, time 427.73ms, mfu 0.08%
iter 13: loss 4.1239, time 423.46ms, mfu 0.08%
iter 14: loss 4.1512, time 412.40ms, mfu 0.08%
iter 15: loss 4.1100, time 410.82ms, mfu 0.08%
iter 16: loss 4.1149, time 412.90ms, mfu 0.08%
iter 17: loss 4.0968, time 413.03ms, mfu 0.08%
iter 18: loss 4.1060, time 428.72ms, mfu 0.08%
iter 19: loss 4.0826, time 407.37ms, mfu 0.08%
iter 20: loss 4.0824, time 419.76ms, mfu 0.08%
iter 21: loss 4.0808, time 417.35ms, mfu 0.08%
iter 22: loss 4.0547, time 417.75ms, mfu 0.08%
iter 23: loss 4.0378, time 431.56ms, mfu 0.08%
iter 24: loss 4.0271, time 410.34ms, mfu 0.08%
iter 25: loss 4.0558, time 483.59ms, mfu 0.08%
iter 26: loss 4.0252, time 546.44ms, mfu 0.08%
iter 27: loss 3.9729, time 531.49ms, mfu 0.08%
iter 28: loss 4.0066, time 569.19ms, mfu 0.08%
iter 29: loss 3.9635, time 502.96ms, mfu 0.07%
iter 30: loss 3.9839, time 413.00ms, mfu 0.08%
iter 31: loss 3.9830, time 415.53ms, mfu 0.08%
iter 32: loss 3.9706, time 430.45ms, mfu 0.08%
iter 33: loss 3.9320, time 409.41ms, mfu 0.08%
iter 34: loss 3.9247, time 429.31ms, mfu 0.08%
iter 35: loss 3.9164, time 412.64ms, mfu 0.08%
iter 36: loss 3.9326, time 414.35ms, mfu 0.08%
iter 37: loss 3.9189, time 416.16ms, mfu 0.08%
iter 38: loss 3.9170, time 401.56ms, mfu 0.08%
iter 39: loss 3.8581, time 433.39ms, mfu 0.08%
step 40: train loss 3.8367, val loss 3.8436
saving checkpoint to out/member1/bs64_L4_H4_E128_B8_D0.1_I400
iter 40: loss 3.8833, time 954.73ms, mfu 0.07%
iter 41: loss 3.8515, time 402.40ms, mfu 0.08%
iter 42: loss 3.8611, time 408.33ms, mfu 0.08%
iter 43: loss 3.8145, time 418.84ms, mfu 0.08%
iter 44: loss 3.8275, time 410.28ms, mfu 0.08%
iter 45: loss 3.8132, time 435.00ms, mfu 0.08%
iter 46: loss 3.7844, time 405.24ms, mfu 0.08%
iter 47: loss 3.7956, time 416.47ms, mfu 0.08%
iter 48: loss 3.7934, time 418.09ms, mfu 0.08%
iter 49: loss 3.7971, time 402.62ms, mfu 0.08%
iter 50: loss 3.7754, time 418.34ms, mfu 0.08%
iter 51: loss 3.7712, time 406.03ms, mfu 0.08%
iter 52: loss 3.7443, time 568.90ms, mfu 0.08%
iter 53: loss 3.7538, time 524.11ms, mfu 0.08%
